text,nic_code,nic_label,division
providingwe provide warehousing for domestic use,52102,Warehousing non-refrigerated,Transport
we do we make fashion jewellery unit,32120,Manufacture of imitation jewellery,Manufacturing
we specialize in joota banane ka kaam as a home business,15201,Manufacture of leather footwear,Manufacturing
we deliver parcels in india,53200,Courier activities,Transport
my small business is kiryana shop,47211,Retail sale of cereals and pulses,Trade
we have a electronic goods shop since many years,47420,Retail sale of audio and video equipment,Trade
we have a agarbatti production unit on small scale,20238,Manufacture of agarbatti,Manufacturing
repairingphotocopying shop as msme,82191,Photocopying and duplicating services,Services
we provide parlour and spa,96020,Hairdressing and other beauty treatment,Services
i do vermicelli making unit,10740,Manufacture of macaroni and noodles,Manufacturing
i own a we manage events on small scale,82300,Organization of conventions and trade shows,Services
i own a readymade garment shop as a home business,47711,Retail sale of readymade garments,Trade
we deal in soft drink manufacturing at home,11045,Manufacture of soft drinks,Manufacturing
repairingtwo wheeler repair workshop,45403,Maintenance of motorcycles and scooters,Trade
we specialize in college education for domestic use,85301,Higher education,Education
i do courier service as micro enterprise,53200,Courier activities,Transport
my work involves cab service business at home,49224,Taxi operation,Transport
lock and key making,25934,Manufacture of padlocks and locks,Manufacturing
providingcar servicing workshop for domestic use,45200,Maintenance and repair of motor vehicles,Trade
sellingi grow wheat on my farm as a home business,1111,Growing of wheat,Agriculture
we specialize in we do tax filing and GST near me,69202,Tax consultancy,Finance
i am a organic rice cultivation on small scale,1121,Organic farming of basmati rice,Agriculture
i own a auto garage mechanic since many years,45200,Maintenance and repair of motor vehicles,Trade
repairingpottery making for export,23931,Manufacture of articles of porcelain and pottery,Manufacturing
servicepainting contractor for local market,43303,Interior and exterior painting,Construction
business activity: iti training institute unit,85221,Technical and vocational education,Education
tradingcustom tailoring shop in my village,14105,Custom tailoring,Manufacturing
we provide soap making,20231,Manufacture of soap all forms,Manufacturing
repairingdata entry operator as micro enterprise,63114,Providing data entry services,IT Services
we are manufacturers of chocolate making,10732,Manufacture of chocolate,Manufacturing
Growinghoney production business near me,1492,Bee-keeping and production of honey,Agriculture
i own a i make gold jewellery,32111,Manufacture of jewellery of gold silver,Manufacturing
mithai banane ka kaam as msme,10734,Manufacture of sweetmeats,Manufacturing
tradingtyre manufacturing as a home business,22111,Manufacture of rubber tyres for motor vehicles,Manufacturing
servicewe make washing powder unit,20233,Manufacture of detergent,Manufacturing
we deal in i am a tailor for domestic use,14105,Custom tailoring,Manufacturing
business activity: knitting hosiery unit at home,13913,Manufacture of knitted synthetic fabrics,Manufacturing
Growingfishing boat business,3111,Fishing in ocean and coastal waters,Agriculture
our business is i keep bees and sell honey at home,1492,Bee-keeping and production of honey,Agriculture
we provide nursing home as a home business,86100,Hospital activities,Healthcare
plumbing work contractor as micro enterprise,43221,Installation of plumbing,Construction
servicecab service business for domestic use,49224,Taxi operation,Transport
makinganimal feed production near me,10801,Manufacture of cattle feed,Manufacturing
we specialize in construction contractor for domestic use,41001,Construction of buildings,Construction
we deal in seviyan manufacturing,10740,Manufacture of macaroni and noodles,Manufacturing
tradingspice farming unit,1284,Growing of spices,Agriculture
manufacturingmobile repairing centre unit,95120,Repair of communication equipment,Services
repairingi have a cow dairy in my village,1412,Production of milk from cows or buffaloes,Agriculture
we provide we do pest control,81299,Other building and industrial cleaning,Services
i am a we do hand embroidery,13991,Embroidery work and making of laces,Manufacturing
i run a we mine coal opencast near me,5101,Opencast mining of hard coal,Mining
solar rooftop installation as micro enterprise,35105,Electric power generation using solar energy,Energy
servicewe mill dal and pulses unit,10613,Dal (pulses) milling,Manufacturing
repairingwe do catering for events on small scale,56210,Event catering,Hospitality
our business is plastic bag making,22203,Manufacture of plastic articles for packing,Manufacturing
my work involves iti training institute,85221,Technical and vocational education,Education
silk weaving since many years,13122,Weaving of silk fabrics,Manufacturing
i am a auto parts manufacturing at home,29301,Manufacture of motor vehicle parts,Manufacturing
we are manufacturers of we make skimmed milk powder on small scale,10502,Manufacture of milk powder,Manufacturing
we do aerated drinks manufacturing near me,11041,Manufacture of aerated drinks,Manufacturing
repairingchuri banane ka kaam,23106,Manufacture of glass bangles,Manufacturing
servicewire and cable manufacturing as a home business,27320,Manufacture of wires and cables,Manufacturing
iron ore mining,7100,Mining of iron ores,Mining
sellingi do fishing in the sea near me,3111,Fishing in ocean and coastal waters,Agriculture
servicesand quarrying at home,8106,Operation of sand or gravel pits,Mining
repairingpaint manufacturing near me,20221,Manufacture of paints and varnishes,Manufacturing
servicepaint manufacturing in india,20221,Manufacture of paints and varnishes,Manufacturing
we make led lights and bulbs as a home business,27400,Manufacture of electric lighting equipment,Manufacturing
i am a we run a coaching class on small scale,85491,Academic tutoring services,Education
our unit is involved in we manufacture chocolates for local market,10732,Manufacture of chocolate,Manufacturing
repairingdry cleaning laundry for domestic use,96010,Washing and dry cleaning of textiles,Services
we deal in electronic component making since many years,26101,Manufacture of electronic components,Manufacturing
servicecold chain storage business unit,52101,Warehousing of refrigerated goods,Transport
repairingkitab ki dukan in my village,47613,Retail sale of stationery,Trade
our unit is involved in clothing shop business,47711,Retail sale of readymade garments,Trade
homeopathy clinic unit,86903,Activities of homeopaths,Healthcare
i own a utensil making brass copper,25994,Manufacture of metal household articles,Manufacturing
makingwe repair electronic items,95210,Repair of consumer electronics,Services
biscuit manufacturing as msme,10712,Manufacture of biscuits and cakes,Manufacturing
wooden toy making on small scale,32401,Manufacture of dolls and toy animals,Manufacturing
tea stall in my village,56302,Tea and coffee shops,Hospitality
sellingwe do hand embroidery as micro enterprise,13991,Embroidery work and making of laces,Manufacturing
cardboard box making,17023,Manufacture of card board boxes,Manufacturing
tradingcoal mining for domestic use,5101,Opencast mining of hard coal,Mining
